Date,Packet Loss,Min,Avg,Max,Standard_Deviation
Sun Apr 16 20:57:34,0%,112.114,115.219,146.873,7.819
Sun Apr 16 21:02:56,0%,112.098,112.203,112.294,0.413
Sun Apr 16 22:03:26,0%,112.088,112.231,112.428,0.436
Sun Apr 16 23:03:55,0%,112.068,112.144,112.228,0.426
Mon Apr 17 00:04:25,0%,112.051,112.155,112.355,0.470
Mon Apr 17 01:04:49,0%,112.042,112.087,112.125,0.424
Mon Apr 17 02:05:18,0%,112.038,112.137,112.809,0.270
Mon Apr 17 03:05:48,0%,112.022,112.127,112.327,0.266
Mon Apr 17 04:06:17,0%,112.051,112.546,115.477,0.822
Mon Apr 17 05:06:41,0%,112.049,112.449,117.004,1.195
Mon Apr 17 06:07:06,0%,112.035,112.271,113.582,0.454
Mon Apr 17 07:07:30,0%,112.033,112.093,112.239,0.284
Mon Apr 17 08:07:55,0%,112.056,112.280,113.520,0.586
Mon Apr 17 09:08:25,0%,112.064,112.174,113.367,0.505
Mon Apr 17 10:08:54,0%,112.072,112.273,114.523,0.527
Mon Apr 17 11:09:18,0%,112.057,112.116,112.269,0.412
Mon Apr 17 12:09:43,0%,112.063,112.349,115.585,0.865
Mon Apr 17 13:10:13,0%,112.069,112.168,112.438,0.201
Mon Apr 17 14:10:37,0%,112.107,112.208,112.384,0.326
Mon Apr 17 15:11:07,0%,112.138,113.501,118.033,1.733
Mon Apr 17 16:11:36,0%,112.040,112.163,112.363,0.325
Mon Apr 17 17:12:01,0%,112.127,112.218,112.388,0.372
Mon Apr 17 18:12:31,0%,112.170,113.256,116.737,1.293
Mon Apr 17 19:13:00,0%,112.111,112.226,112.772,0.471
Mon Apr 17 20:13:29,0%,112.129,112.237,112.651,0.337
Mon Apr 17 21:13:59,0%,112.144,112.285,112.770,0.348
Mon Apr 17 22:14:28,0%,112.078,112.323,114.176,0.437
Mon Apr 17 23:14:58,0%,112.095,112.216,112.904,0.467
Tue Apr 18 00:15:27,0%,112.021,112.220,112.655,0.464
Tue Apr 18 01:15:56,0%,112.068,112.283,114.304,0.592
Tue Apr 18 02:16:26,0%,112.044,112.148,112.680,0.481
Tue Apr 18 03:16:51,0%,112.038,112.355,115.457,0.866
Tue Apr 18 04:17:20,0%,112.044,112.180,112.741,0.477
Tue Apr 18 05:17:44,0%,120.536,120.849,121.913,0.369
Tue Apr 18 06:18:14,0%,112.044,112.388,116.281,0.928
Tue Apr 18 07:18:38,0%,112.034,112.153,112.901,0.179
Tue Apr 18 08:19:02,0%,112.032,112.134,112.396,0.200
Tue Apr 18 09:19:27,0%,112.049,112.140,112.475,0.210
Tue Apr 18 10:19:56,0%,112.078,112.368,114.318,0.604
Tue Apr 18 11:20:20,0%,112.065,112.131,112.391,0.326
Tue Apr 18 12:20:45,0%,112.045,112.203,113.278,0.380
Tue Apr 18 13:21:09,0%,112.059,112.239,112.780,0.434
Tue Apr 18 14:21:34,0%,120.642,120.804,120.988,0.137
Tue Apr 18 15:21:58,0%,112.085,112.211,113.034,0.502
Tue Apr 18 16:22:23,0%,112.118,112.307,114.091,0.503
Tue Apr 18 17:22:48,0%,112.108,112.222,112.831,0.181
Tue Apr 18 18:23:12,0%,112.135,112.358,113.410,0.435
Tue Apr 18 19:23:37,0%,112.168,112.272,112.782,0.362
Tue Apr 18 20:24:01,0%,112.139,112.256,112.430,0.224
Tue Apr 18 21:24:25,0%,112.115,112.209,112.305,0.465
Tue Apr 18 22:24:50,0%,112.122,112.202,112.269,0.042
Tue Apr 18 23:25:14,0%,112.075,112.235,113.176,0.341
Wed Apr 19 00:25:39,0%,112.028,112.150,112.696,0.418
Wed Apr 19 01:26:04,0%,112.047,112.141,112.357,0.326
Wed Apr 19 02:26:28,0%,112.050,112.103,112.319,0.371
Wed Apr 19 03:26:53,0%,112.039,112.222,113.278,0.386
Wed Apr 19 04:27:17,0%,112.041,112.250,113.318,0.570
Wed Apr 19 05:27:41,0%,112.059,112.228,113.140,0.506
Wed Apr 19 06:28:06,0%,112.055,112.152,112.733,0.422
Wed Apr 19 07:28:30,0%,112.044,112.121,112.317,0.194
Wed Apr 19 08:28:55,0%,112.051,112.140,112.342,0.084
Wed Apr 19 09:29:19,0%,112.043,129.899,132.230,5.952
Wed Apr 19 10:29:44,0%,112.063,112.239,113.068,0.487
Wed Apr 19 11:30:08,0%,112.044,112.146,112.303,0.126
