Date,Packet Loss,Min,Avg,Max,Standard_Deviation
Sun Apr 16 21:10:41,0%,0.031,0.050,0.074,0.014
Sun Apr 16 21:16:00,0%,262.616,262.704,262.891,0.370
Sun Apr 16 22:16:23,0%,262.625,262.746,263.313,0.532
Sun Apr 16 23:16:43,0%,262.564,262.714,262.899,0.184
Mon Apr 17 00:17:03,0%,262.599,262.728,262.906,0.402
Mon Apr 17 01:17:23,0%,262.548,262.670,263.058,0.615
Mon Apr 17 02:17:43,0%,262.531,262.661,262.775,0.609
Mon Apr 17 03:18:03,0%,262.647,262.725,262.961,0.631
Mon Apr 17 04:18:23,0%,262.520,262.625,262.737,0.367
Mon Apr 17 05:18:43,0%,262.557,262.681,262.807,0.565
Mon Apr 17 06:19:03,0%,262.575,262.723,262.882,0.519
Mon Apr 17 07:19:23,0%,262.588,262.720,262.970,0.657
Mon Apr 17 08:19:43,0%,262.591,262.690,262.837,0.176
Mon Apr 17 09:20:04,0%,262.575,262.692,262.833,0.589
Mon Apr 17 10:20:24,0%,262.561,262.704,262.924,0.469
Mon Apr 17 11:20:44,0%,262.625,262.750,262.859,0.564
Mon Apr 17 12:21:04,0%,262.583,262.743,262.904,0.544
Mon Apr 17 13:21:24,0%,262.824,262.988,263.257,0.252
Mon Apr 17 14:21:44,0%,262.814,262.961,263.139,0.242
Mon Apr 17 15:22:04,0%,262.881,262.969,263.096,0.540
Mon Apr 17 16:22:24,0%,372.001,388.036,395.014,6.357
Mon Apr 17 17:22:47,0%,394.425,394.763,394.965,0.672
Mon Apr 17 18:23:08,5%,392.806,394.697,395.252,0.765
Mon Apr 17 19:23:29,5%,382.773,393.544,394.931,2.857
Mon Apr 17 20:23:50,10%,262.766,263.024,264.927,0.651
Mon Apr 17 21:24:17,0%,262.800,263.718,268.551,1.940
Mon Apr 17 22:24:41,0%,262.826,262.964,263.252,0.378
Mon Apr 17 23:25:01,0%,262.946,263.037,263.353,0.438
Tue Apr 18 00:25:21,0%,262.866,263.024,263.287,0.414
Tue Apr 18 01:25:41,0%,262.916,262.997,263.188,0.463
Tue Apr 18 02:26:01,0%,262.831,263.014,263.169,0.077
Tue Apr 18 03:26:21,0%,262.801,262.983,263.150,0.634
Tue Apr 18 04:26:41,0%,262.812,262.937,263.101,0.519
Tue Apr 18 05:27:01,0%,262.920,263.052,263.350,0.571
Tue Apr 18 06:27:21,5%,262.833,262.953,263.128,0.669
Tue Apr 18 07:27:42,0%,262.815,262.983,263.155,0.593
Tue Apr 18 08:28:02,0%,262.870,263.000,263.207,0.674
Tue Apr 18 09:28:22,0%,262.873,262.974,263.119,0.610
Tue Apr 18 10:28:43,0%,262.873,263.026,263.278,0.616
Tue Apr 18 11:29:02,0%,262.885,263.071,263.379,0.305
Tue Apr 18 12:29:22,0%,262.936,263.039,263.209,0.370
Tue Apr 18 13:29:43,0%,262.839,263.022,263.520,0.277
Tue Apr 18 14:30:03,0%,262.879,262.957,263.106,0.691
Tue Apr 18 15:30:23,0%,262.889,263.083,263.743,0.217
Tue Apr 18 16:30:43,0%,262.922,264.308,269.831,1.910
Tue Apr 18 17:31:03,0%,272.888,289.064,304.219,7.738
Tue Apr 18 18:31:23,0%,262.861,263.054,263.452,0.354
Tue Apr 18 19:31:43,0%,296.691,297.142,298.863,0.564
Tue Apr 18 20:32:03,0%,296.745,296.998,297.603,0.412
Tue Apr 18 21:32:23,0%,296.650,296.799,296.972,0.626
Tue Apr 18 22:32:46,0%,296.686,296.879,297.203,0.612
Tue Apr 18 23:33:07,0%,299.288,299.426,299.645,0.742
Wed Apr 19 00:33:27,0%,299.246,299.371,299.519,0.578
Wed Apr 19 01:33:47,0%,299.257,299.356,299.523,0.462
Wed Apr 19 02:34:07,0%,299.232,299.427,300.262,0.609
Wed Apr 19 03:34:27,0%,299.225,299.348,299.640,0.718
Wed Apr 19 04:34:48,0%,299.196,299.359,299.578,0.720
Wed Apr 19 05:35:08,0%,299.220,299.365,299.500,0.524
Wed Apr 19 06:35:28,0%,299.310,299.440,299.615,0.262
