Date,Packet Loss,Min,Avg,Max,Standard_Deviation
Sun Apr 16 21:49:53,0%,70.132,70.392,72.46,0.621
Sun Apr 16 22:50:19,0%,70.108,70.914,80.293,2.266
Sun Apr 16 23:50:45,0%,70.136,70.245,70.574,0.367
Mon Apr 17 00:51:11,0%,70.105,70.535,76.179,1.326
Mon Apr 17 01:51:38,0%,70.123,70.196,70.363,0.288
Mon Apr 17 02:52:04,0%,70.117,70.195,70.377,0.353
Mon Apr 17 03:52:30,0%,70.133,70.214,70.342,0.308
Mon Apr 17 04:52:58,0%,70.117,70.415,72.407,0.637
Mon Apr 17 05:53:24,0%,70.135,70.236,70.934,0.334
Mon Apr 17 06:53:49,0%,70.131,70.346,71.772,0.479
Mon Apr 17 07:54:17,0%,70.122,70.333,72.43,0.598
Mon Apr 17 08:54:43,0%,70.122,70.218,70.408,0.311
Mon Apr 17 09:55:09,0%,70.125,70.224,70.358,0.272
Mon Apr 17 10:55:34,0%,70.125,70.224,70.759,0.336
Mon Apr 17 11:56:01,0%,70.139,70.202,70.42,0.214
Mon Apr 17 12:56:26,0%,70.129,70.238,70.492,0.303
Mon Apr 17 13:56:53,0%,70.104,70.216,70.547,0.318
Mon Apr 17 14:57:21,0%,70.109,70.222,70.43,0.312
Mon Apr 17 15:57:47,0%,70.164,70.236,70.424,0.247
Mon Apr 17 16:58:12,0%,70.112,70.31,71.08,0.32
Mon Apr 17 17:58:39,0%,70.166,70.286,70.507,0.226
Mon Apr 17 18:59:06,0%,70.159,80.569,116.296,11.428
Mon Apr 17 19:59:32,0%,70.173,70.257,70.472,0.332
Mon Apr 17 20:59:57,0%,70.146,70.363,71.577,0.489
Mon Apr 17 22:00:24,0%,70.127,70.324,71.274,0.242
Mon Apr 17 23:00:49,0%,70.164,70.283,70.816,0.193
Tue Apr 18 00:01:15,0%,70.121,70.277,70.64,0.211
Tue Apr 18 01:01:42,0%,70.138,70.893,80.379,2.264
Tue Apr 18 02:02:07,0%,70.173,70.326,70.889,0.279
Tue Apr 18 03:02:33,0%,70.131,70.271,70.829,0.34
Tue Apr 18 04:02:59,0%,70.127,70.255,70.584,0.199
Tue Apr 18 05:03:26,0%,70.135,71.912,86.926,4.673
Tue Apr 18 06:03:51,0%,70.13,70.282,70.966,0.297
Tue Apr 18 07:04:17,0%,70.123,70.262,70.708,0.169
Tue Apr 18 08:04:42,0%,70.1,70.253,70.522,0.22
Tue Apr 18 09:05:14,0%,70.124,70.236,70.427,0.164
Tue Apr 18 10:05:39,0%,70.132,70.267,70.667,0.235
Tue Apr 18 11:06:06,0%,70.126,70.302,70.571,0.321
Tue Apr 18 12:06:31,0%,70.144,70.408,71.522,0.483
Tue Apr 18 13:06:56,0%,70.181,70.846,73.783,0.985
Tue Apr 18 14:07:22,0%,70.154,70.896,74.523,1.14
Tue Apr 18 15:07:47,0%,70.199,73.442,123.798,11.587
Tue Apr 18 16:08:13,0%,70.137,76.615,163.57,20.52
Tue Apr 18 17:08:40,0%,70.171,70.358,71.232,0.267
Tue Apr 18 18:09:07,5%,70.16,70.431,70.883,0.372
Tue Apr 18 19:09:33,0%,70.137,70.925,74.672,1.399
Tue Apr 18 20:10:01,0%,70.196,71.375,82.524,2.881
Tue Apr 18 21:10:29,0%,70.166,71.408,77.076,2.166
Tue Apr 18 22:10:54,0%,70.142,70.406,71.808,0.47
Tue Apr 18 23:11:19,0%,70.129,70.705,79.002,1.921
Wed Apr 19 00:11:44,0%,70.104,70.254,70.933,0.325
Wed Apr 19 01:12:10,0%,70.142,70.274,70.874,0.326
Wed Apr 19 02:12:35,0%,70.126,70.258,70.854,0.289
Wed Apr 19 03:13:00,0%,70.136,70.27,70.657,0.117
Wed Apr 19 04:13:27,0%,70.114,70.233,70.45,0.253
Wed Apr 19 05:13:54,0%,70.125,71.519,85.467,3.928
Wed Apr 19 06:14:20,0%,70.122,70.225,70.501,0.151
Wed Apr 19 07:14:45,0%,70.123,70.224,70.572,0.33
Wed Apr 19 08:15:10,0%,70.117,70.229,70.404,0.331
Wed Apr 19 09:15:35,0%,70.103,70.216,70.616,0.301
Wed Apr 19 10:16:01,0%,70.129,70.259,70.862,0.346
Wed Apr 19 11:16:27,0%,70.1,70.207,70.372,0.298
Wed Apr 19 12:16:53,0%,70.162,70.437,72.534,0.501
Wed Apr 19 13:17:18,0%,70.196,70.922,74.073,0.95
Wed Apr 19 14:17:48,0%,70.174,70.676,72.948,0.782
Wed Apr 19 15:18:14,0%,70.198,75.585,90.135,5.607
Wed Apr 19 16:18:40,0%,70.159,70.386,72.027,0.461
Wed Apr 19 17:19:06,0%,70.156,70.575,71.616,0.547
Wed Apr 19 18:19:33,0%,70.189,75.474,115.846,11.657
Wed Apr 19 19:19:58,0%,70.193,70.317,70.685,0.37
Wed Apr 19 20:20:28,0%,70.186,70.713,76.403,1.36
Wed Apr 19 21:20:53,0%,70.18,70.675,77.693,1.664
Wed Apr 19 22:21:19,0%,70.156,71.241,76.176,1.757
Wed Apr 19 23:21:44,0%,70.179,71.925,89.35,4.459
Thu Apr 20 00:22:12,0%,70.137,70.627,73.616,0.885
Thu Apr 20 01:22:37,0%,70.145,70.295,70.997,0.349
Thu Apr 20 02:23:03,0%,70.133,70.287,71.169,0.258
Thu Apr 20 03:23:29,0%,70.141,70.563,76.222,1.336
Thu Apr 20 04:23:54,0%,70.133,70.467,71.564,0.481
Thu Apr 20 05:24:19,0%,70.124,70.239,70.659,0.387
Thu Apr 20 06:24:44,0%,70.134,70.244,70.424,0.221
Thu Apr 20 07:25:10,0%,70.132,70.363,71.637,0.482
Thu Apr 20 08:25:37,0%,70.108,70.2,70.346,0.158
Thu Apr 20 09:26:02,0%,70.146,70.296,71.182,0.341
Thu Apr 20 10:26:27,0%,70.113,70.189,70.353,0.213
Thu Apr 20 11:26:53,0%,70.126,70.239,70.69,0.205
Thu Apr 20 12:27:18,0%,70.14,70.523,73.057,0.793
Thu Apr 20 13:27:43,0%,70.143,70.272,70.605,0.259
