Date,Packet Loss,Min,Avg,Max,Standard_Deviation
Sun Apr 16 21:46:30,0%,70.162,70.272,70.774,0.284
Sun Apr 16 21:51:45,Sun Apr 16 21:51:49,0%,70.118,70.202,70.297,0.338
Sun Apr 16 22:52:13,0%,70.119,70.214,70.475,0.276
Sun Apr 16 23:52:38,0%,70.097,72.283,111.564,9.014
Mon Apr 17 00:53:03,0%,70.102,71.232,81.322,3.051
Mon Apr 17 01:53:28,0%,70.111,70.268,71.750,0.412
Mon Apr 17 02:53:52,0%,70.136,70.217,70.372,0.275
Mon Apr 17 03:54:17,0%,70.110,70.191,70.425,0.286
Mon Apr 17 04:54:41,0%,70.103,70.182,70.313,0.318
Mon Apr 17 05:55:06,0%,70.114,70.172,70.297,0.153
Mon Apr 17 06:55:31,0%,70.132,70.190,70.428,0.353
Mon Apr 17 07:55:55,0%,70.096,70.193,70.443,0.190
Mon Apr 17 08:56:20,0%,70.119,70.186,70.283,0.050
Mon Apr 17 09:56:44,0%,70.107,70.189,70.256,0.097
Mon Apr 17 10:57:09,0%,70.097,70.212,70.366,0.144
Mon Apr 17 11:57:34,0%,70.133,70.216,70.335,0.329
Mon Apr 17 12:57:59,0%,70.078,70.197,70.370,0.260
Mon Apr 17 13:58:23,0%,70.132,70.202,70.380,0.271
Mon Apr 17 14:58:48,0%,70.140,70.668,73.659,0.940
Mon Apr 17 15:59:12,0%,70.127,70.260,70.465,0.337
Mon Apr 17 16:59:37,0%,70.122,70.250,70.851,0.276
Mon Apr 17 18:00:01,0%,70.134,70.256,70.522,0.357
Mon Apr 17 19:00:26,0%,70.137,70.209,70.332,0.176
Mon Apr 17 20:00:51,0%,70.138,70.243,70.486,0.366
Mon Apr 17 21:01:16,0%,70.144,77.156,94.726,10.588
Mon Apr 17 22:01:41,0%,70.149,70.281,70.612,0.222
Mon Apr 17 23:02:06,0%,70.138,70.386,73.439,0.755
Tue Apr 18 00:02:31,0%,70.121,70.441,73.665,0.781
Tue Apr 18 01:02:55,0%,70.131,70.223,70.407,0.139
Tue Apr 18 02:03:20,0%,70.119,70.333,71.326,0.305
Tue Apr 18 03:03:44,0%,70.133,70.230,70.410,0.075
