Date,Packet Loss,Min,Avg,Max,Standard_Deviation
Sun Apr 16 21:19:11,Sun Apr 16 21:19:15,0%,154.011,154.203,154.407,0.381
Sun Apr 16 22:19:38,0%,154.092,154.188,154.296,0.185
Sun Apr 16 23:20:03,0%,154.075,154.193,154.281,0.544
Mon Apr 17 00:20:27,0%,154.057,154.168,154.335,0.452
Mon Apr 17 01:20:53,0%,154.042,154.198,154.415,0.405
Mon Apr 17 02:21:27,0%,154.068,154.160,154.415,0.473
Mon Apr 17 03:21:56,0%,154.068,154.230,154.341,0.502
Mon Apr 17 04:22:23,0%,154.091,154.173,154.284,0.515
Mon Apr 17 05:22:48,0%,154.136,154.232,154.334,0.451
Mon Apr 17 06:23:15,0%,154.112,154.224,154.362,0.546
Mon Apr 17 07:23:46,0%,154.128,154.257,154.387,0.417
Mon Apr 17 08:24:11,0%,154.024,154.218,154.683,0.528
Mon Apr 17 09:24:47,0%,154.074,154.242,154.476,0.551
Mon Apr 17 10:25:10,0%,154.020,154.268,155.070,0.392
Mon Apr 17 11:25:34,0%,154.079,154.195,154.591,0.348
Mon Apr 17 12:25:57,0%,154.025,154.180,154.343,0.471
Mon Apr 17 13:26:27,0%,154.078,154.145,154.273,0.514
Mon Apr 17 14:26:52,0%,154.086,154.205,154.390,0.486
Mon Apr 17 15:27:21,0%,154.081,154.212,154.441,0.401
Mon Apr 17 16:27:46,0%,154.055,154.163,154.325,0.434
Mon Apr 17 17:28:20,0%,154.032,154.273,155.446,0.653
Mon Apr 17 18:28:47,0%,154.086,154.221,154.448,0.230
Mon Apr 17 19:29:17,0%,154.113,154.284,155.091,0.272
Mon Apr 17 20:29:42,0%,154.071,154.198,154.349,0.336
Mon Apr 17 21:30:08,0%,154.149,154.237,154.348,0.377
Mon Apr 17 22:30:32,0%,154.083,154.212,154.373,0.547
Mon Apr 17 23:30:58,0%,154.099,154.191,154.292,0.397
Tue Apr 18 00:31:23,0%,154.073,154.222,154.450,0.380
Tue Apr 18 01:31:58,0%,154.107,154.200,154.287,0.309
Tue Apr 18 02:32:27,0%,154.061,154.232,154.455,0.270
Tue Apr 18 03:32:50,0%,154.111,154.259,154.414,0.403
Tue Apr 18 04:33:24,0%,154.062,154.185,154.329,0.137
Tue Apr 18 05:33:53,0%,154.067,154.203,154.378,0.314
Tue Apr 18 06:34:18,0%,153.993,154.139,154.323,0.079
Tue Apr 18 07:34:46,0%,154.056,154.160,154.251,0.184
Tue Apr 18 08:35:11,0%,154.139,154.294,154.706,0.471
Tue Apr 18 09:35:50,0%,154.128,154.269,154.491,0.455
Tue Apr 18 10:36:20,0%,154.139,154.275,155.026,0.516
Tue Apr 18 11:36:49,0%,154.114,154.214,154.552,0.232
Tue Apr 18 12:37:14,0%,154.059,154.155,154.364,0.531
Tue Apr 18 13:37:44,0%,154.130,154.212,154.318,0.499
