Date,Packet Loss,Min,Avg,Max,Standard_Deviation
Sun Apr 16 21:39:14,Sun Apr 16 21:39:18,0%,67.387,67.497,68.098,0.248
Sun Apr 16 22:39:38,0%,67.344,67.479,67.912,0.349
Sun Apr 16 23:39:57,0%,67.334,67.429,67.606,0.353
Mon Apr 17 00:40:17,0%,67.312,67.415,67.523,0.206
Mon Apr 17 01:40:36,0%,67.363,67.501,67.816,0.334
Mon Apr 17 02:40:55,0%,67.353,67.486,67.958,0.178
Mon Apr 17 03:41:15,0%,67.317,67.501,68.458,0.318
Mon Apr 17 04:41:34,0%,67.357,67.433,67.561,0.192
Mon Apr 17 05:41:53,0%,67.292,67.480,67.717,0.373
Mon Apr 17 06:42:13,0%,67.298,67.504,68.135,0.383
Mon Apr 17 07:42:32,0%,67.332,67.547,68.468,0.439
Mon Apr 17 08:42:51,0%,67.363,67.462,68.228,0.327
Mon Apr 17 09:43:11,0%,67.335,67.448,67.951,0.370
Mon Apr 17 10:43:30,0%,67.304,67.496,68.265,0.299
Mon Apr 17 11:43:49,0%,67.297,67.513,68.644,0.296
Mon Apr 17 12:44:09,0%,67.346,67.578,68.353,0.449
Mon Apr 17 13:44:28,0%,67.288,67.462,68.381,0.402
Mon Apr 17 14:44:47,0%,67.356,67.472,67.802,0.189
Mon Apr 17 15:45:07,0%,67.359,67.465,68.138,0.317
Mon Apr 17 16:45:26,0%,67.303,67.455,67.895,0.238
Mon Apr 17 17:45:46,0%,67.337,67.666,68.967,0.540
Mon Apr 17 18:46:05,0%,67.344,67.534,68.407,0.398
Mon Apr 17 19:46:24,0%,67.298,67.485,68.088,0.192
Mon Apr 17 20:46:44,0%,67.312,67.429,67.746,0.300
Mon Apr 17 21:47:03,0%,67.324,67.459,68.279,0.239
Mon Apr 17 22:47:22,0%,67.318,67.514,68.229,0.389
Mon Apr 17 23:47:43,0%,67.312,67.612,68.921,0.434
Tue Apr 18 00:48:02,0%,67.314,67.448,67.658,0.339
Tue Apr 18 01:48:21,0%,67.329,67.559,68.259,0.403
Tue Apr 18 02:48:41,0%,67.323,67.425,67.632,0.266
Tue Apr 18 03:49:00,0%,67.354,67.529,67.982,0.299
Tue Apr 18 04:49:20,0%,67.339,67.511,67.920,0.311
Tue Apr 18 05:49:39,0%,67.270,67.390,67.516,0.237
Tue Apr 18 06:49:58,0%,67.319,67.435,67.615,0.160
Tue Apr 18 07:50:18,0%,67.321,67.520,68.132,0.335
Tue Apr 18 08:50:37,0%,67.383,67.621,70.035,0.573
Tue Apr 18 09:50:57,0%,67.334,67.543,67.984,0.315
Tue Apr 18 10:51:17,0%,67.365,67.572,68.229,0.265
Tue Apr 18 11:51:36,0%,67.317,67.428,67.719,0.299
Tue Apr 18 12:51:55,0%,67.348,67.432,67.677,0.292
Tue Apr 18 13:52:15,0%,67.333,67.441,67.860,0.192
Tue Apr 18 14:52:34,0%,67.368,67.453,67.683,0.202
Tue Apr 18 15:52:53,0%,67.354,67.479,67.711,0.260
Tue Apr 18 16:53:13,0%,67.324,67.448,67.792,0.147
Tue Apr 18 17:53:32,0%,67.329,67.435,67.755,0.221
Tue Apr 18 18:53:52,0%,67.367,67.475,67.651,0.246
Tue Apr 18 19:54:11,0%,67.340,67.419,67.657,0.213
Tue Apr 18 20:54:31,0%,67.380,67.499,67.864,0.116
Tue Apr 18 21:54:50,0%,67.277,67.422,67.740,0.275
Tue Apr 18 22:55:09,0%,67.350,67.476,67.866,0.219
Tue Apr 18 23:55:29,0%,67.377,67.487,68.073,0.202
Wed Apr 19 00:55:48,0%,67.308,67.441,67.871,0.115
Wed Apr 19 01:56:08,0%,67.358,67.505,67.912,0.167
Wed Apr 19 02:56:27,0%,67.341,67.479,67.635,0.206
Wed Apr 19 03:56:46,0%,67.367,67.464,67.755,0.288
Wed Apr 19 04:57:06,0%,67.326,67.429,67.551,0.345
Wed Apr 19 05:57:25,0%,67.341,67.508,67.910,0.204
Wed Apr 19 06:57:45,0%,67.339,67.508,68.528,0.441
Wed Apr 19 07:58:04,0%,67.334,67.468,67.751,0.196
