Date,Packet Loss,Min,Avg,Max,Standard_Deviation
Sun Apr 16 21:36:37,Sun Apr 16 21:36:40,0%,72.590,72.717,73.237,0.340
Sun Apr 16 22:37:04,0%,72.553,72.747,73.258,0.325
Sun Apr 16 23:37:28,0%,72.618,73.375,74.812,0.513
Mon Apr 17 00:37:53,0%,72.605,73.123,73.989,0.394
Mon Apr 17 01:38:17,0%,73.047,74.060,78.900,1.287
Mon Apr 17 02:38:41,0%,72.595,72.719,73.091,0.271
Mon Apr 17 03:39:06,0%,72.560,72.690,73.058,0.350
Mon Apr 17 04:39:30,0%,72.576,73.271,74.946,0.802
Mon Apr 17 05:39:55,0%,72.575,72.968,73.955,0.416
Mon Apr 17 06:40:20,0%,72.588,73.006,74.634,0.609
Mon Apr 17 07:40:44,0%,72.588,72.822,73.322,0.358
Mon Apr 17 08:41:09,0%,72.558,72.875,74.238,0.579
Mon Apr 17 09:41:33,0%,72.580,73.011,74.901,0.732
Mon Apr 17 10:41:58,0%,72.615,73.044,73.802,0.512
Mon Apr 17 11:42:22,0%,72.585,73.304,76.046,0.982
Mon Apr 17 12:42:47,0%,72.593,72.924,74.012,0.541
Mon Apr 17 13:43:11,0%,72.590,73.075,74.448,0.562
Mon Apr 17 14:43:36,0%,73.187,73.581,74.477,0.534
Mon Apr 17 15:44:01,0%,73.214,74.846,90.228,3.732
Mon Apr 17 16:44:25,0%,72.642,72.887,73.686,0.395
Mon Apr 17 17:44:50,0%,72.606,72.897,74.120,0.509
Mon Apr 17 18:45:14,0%,72.591,73.216,74.552,0.614
Mon Apr 17 19:45:39,0%,72.546,72.995,74.234,0.454
Mon Apr 17 20:46:03,0%,72.627,73.355,76.000,1.044
Mon Apr 17 21:46:28,0%,72.544,83.803,92.484,7.844
Mon Apr 17 22:46:52,0%,73.112,73.781,75.762,0.678
Mon Apr 17 23:47:17,0%,73.350,74.571,76.170,0.909
Tue Apr 18 00:47:41,0%,72.634,73.985,76.072,0.995
Tue Apr 18 01:48:06,0%,72.636,73.198,74.798,0.712
Tue Apr 18 02:48:30,0%,72.588,73.209,74.874,0.711
Tue Apr 18 03:48:55,0%,72.584,73.236,74.957,0.734
Tue Apr 18 04:49:20,0%,72.652,72.919,73.717,0.424
